Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U100,STM32F072C8Tx,LQFP-48_7x7mm_P0.5mm,308.225,-139.309999,0.0,bottom
U11,SLSS49E-3,SLSS49E_MX_1.5U,22.475,-105.992499,0.0,bottom
U12,SLSS49E-3,SLSS49E_MX_1.75U,24.85625,-125.042499,0.0,bottom
U13,SLSS49E-3,SLSS49E_MX_1U,79.625,-63.129999,0.0,bottom
U14,SLSS49E-3,SLSS49E_MX_1U,98.675,-63.129999,0.0,bottom
U15,CD74HC4067SM,TSSOP-24_4.4x7.8mm_P0.65mm,122.4875,-116.688124,180.0,bottom
U16,SLSS49E-3,SLSS49E_MX_1U,36.7625,-86.942499,0.0,bottom
U17,SLSS49E-3,SLSS49E_MX_1U,46.2875,-105.992499,0.0,bottom
U18,SLSS49E-3,SLSS49E_MX_1U,51.05,-125.042499,0.0,bottom
U2,SLSS49E-3,SLSS49E_MX_1U,41.525,-63.129999,0.0,bottom
U20,SLSS49E-3,SLSS49E_MX_1U,122.4875,-63.129999,0.0,bottom
U21,CD74HC4067SM,TSSOP-24_4.4x7.8mm_P0.65mm,37.953125,-116.688124,180.0,bottom
U22,SLSS49E-3,SLSS49E_MX_1U,55.8125,-86.942499,0.0,bottom
U23,SLSS49E-3,SLSS49E_MX_1U,65.3375,-105.992499,0.0,bottom
U24,SLSS49E-3,SLSS49E_MX_1U,70.1,-125.042499,0.0,bottom
U25,SLSS49E-3,SLSS49E_MX_1U,60.575,-144.092499,0.0,bottom
U26,SLSS49E-3,SLSS49E_MX_1U,141.5375,-63.129999,0.0,bottom
U27,SLSS49E-3,SLSS49E_MX_1U,160.5875,-63.129999,0.0,bottom
U28,SLSS49E-3,SLSS49E_MX_1U,74.8625,-86.942499,0.0,bottom
U29,SLSS49E-3,SLSS49E_MX_1U,84.3875,-105.992499,0.0,bottom
U3,SLSS49E-3,SLSS49E_MX_2U,274.8875,-87.792449,0.0,bottom
U30,SLSS49E-3,SLSS49E_MX_1U,89.15,-125.042499,0.0,bottom
U31,SLSS49E-3,SLSS49E_MX_1U,79.625,-144.092499,0.0,bottom
U32,SLSS49E-3,SLSS49E_MX_1U,179.6375,-63.129999,0.0,bottom
U33,SLSS49E-3,SLSS49E_MX_2.25U,29.61875,-144.942449,0.0,bottom
U34,SLSS49E-3,SLSS49E_MX_1U,93.9125,-86.942499,0.0,bottom
U35,SLSS49E-3,SLSS49E_MX_1U,103.4375,-105.992499,0.0,bottom
U36,SLSS49E-3,SLSS49E_MX_1U,108.2,-125.042499,0.0,bottom
U37,SLSS49E-3,SLSS49E_MX_1U,98.675,-144.092499,0.0,bottom
U38,SLSS49E-3,SLSS49E_MX_1U,203.45,-63.129999,0.0,bottom
U39,SLSS49E-3,SLSS49E_MX_1U,222.5,-63.129999,0.0,bottom
U4,SLSS49E-3,SLSS49E_MX_1.5U,22.475,-163.142499,0.0,bottom
U40,SLSS49E-3,SLSS49E_MX_1U,112.9625,-86.942499,0.0,bottom
U41,SLSS49E-3,SLSS49E_MX_1U,122.4875,-105.992499,0.0,bottom
U42,SLSS49E-3,SLSS49E_MX_1U,127.25,-125.042499,0.0,bottom
U43,SLSS49E-3,SLSS49E_MX_1U,117.725,-144.092499,0.0,bottom
U44,SLSS49E-3,SLSS49E_MX_1U,241.55,-63.129999,0.0,bottom
U45,SLSS49E-3,SLSS49E_MX_1U,260.6,-63.129999,0.0,bottom
U46,SLSS49E-3,SLSS49E_MX_1U,132.0125,-86.942499,0.0,bottom
U47,SLSS49E-3,SLSS49E_MX_1U,141.5375,-105.992499,0.0,bottom
U48,SLSS49E-3,SLSS49E_MX_1U,146.3,-125.042499,0.0,bottom
U49,SLSS49E-3,SLSS49E_MX_1U,136.775,-144.092499,0.0,bottom
U5,SLSS49E-3,SLSS49E_MX_1U,46.2875,-163.142499,0.0,bottom
U50,SLSS49E-3,SLSS49E_MX_1U,284.4125,-63.129999,0.0,bottom
U51,CD74HC4067SM,TSSOP-24_4.4x7.8mm_P0.65mm,160.5875,-116.688124,180.0,bottom
U52,SLSS49E-3,SLSS49E_MX_1U,151.0625,-86.942499,0.0,bottom
U53,SLSS49E-3,SLSS49E_MX_1U,160.5875,-105.992499,0.0,bottom
U54,SLSS49E-3,SLSS49E_MX_1U,165.35,-125.042499,0.0,bottom
U55,SLSS49E-3,SLSS49E_MX_1U,155.825,-144.092499,0.0,bottom
U56,CD74HC4067SM,TSSOP-24_4.4x7.8mm_P0.65mm,84.3875,-116.688124,180.0,bottom
U57,SLSS49E-3,SLSS49E_MX_2.75U,267.74375,-144.942449,0.0,bottom
U58,SLSS49E-3,SLSS49E_MX_1U,170.1125,-86.942499,0.0,bottom
U59,SLSS49E-3,SLSS49E_MX_1U,179.6375,-105.992499,0.0,bottom
U6,SLSS49E-3,SLSS49E_MX_1.5U,70.1,-163.142499,0.0,bottom
U60,SLSS49E-3,SLSS49E_MX_1U,184.4,-125.042499,0.0,bottom
U61,SLSS49E-3,SLSS49E_MX_1U,174.875,-144.092499,0.0,bottom
U62,CD74HC4067SM,TSSOP-24_4.4x7.8mm_P0.65mm,198.6875,-116.688124,180.0,bottom
U63,AMS1117-3.3,SOT-223-3_TabPin2,296.31875,-63.897499,90.0,bottom
U64,SLSS49E-3,SLSS49E_MX_1U,189.1625,-86.942499,0.0,bottom
U65,SLSS49E-3,SLSS49E_MX_1U,198.6875,-105.992499,0.0,bottom
U66,SLSS49E-3,SLSS49E_MX_1U,203.45,-125.042499,0.0,bottom
U67,SLSS49E-3,SLSS49E_MX_1U,193.925,-144.092499,0.0,bottom
U68,CD74HC4067SM,TSSOP-24_4.4x7.8mm_P0.65mm,236.7875,-116.688124,180.0,bottom
U69,CD74HC4067SM,TSSOP-24_4.4x7.8mm_P0.65mm,270.125,-116.688124,180.0,bottom
U7,SLSS49E-3,SLSS49E_MX_7U-ReversedStabilizers,151.0625,-162.252549,0.0,bottom
U70,SLSS49E-3,SLSS49E_MX_1U,208.2125,-86.942499,0.0,bottom
U71,SLSS49E-3,SLSS49E_MX_1U,217.7375,-105.992499,0.0,bottom
U72,SLSS49E-3,SLSS49E_MX_1U,222.5,-125.042499,0.0,bottom
U73,SLSS49E-3,SLSS49E_MX_1U,212.975,-144.092499,0.0,bottom
U74,CD74HC4067SM,TSSOP-24_4.4x7.8mm_P0.65mm,340.371875,-116.688124,180.0,bottom
U75,SLSS49E-3,SLSS49E_MX_1U,308.225,-63.129999,0.0,bottom
U76,SLSS49E-3,SLSS49E_MX_1U,227.2625,-86.942499,0.0,bottom
U77,SLSS49E-3,SLSS49E_MX_1U,236.7875,-105.992499,0.0,bottom
U78,SLSS49E-3,SLSS49E_MX_1U,241.55,-125.042499,0.0,bottom
U79,SLSS49E-3,SLSS49E_MX_1U,232.025,-144.092499,0.0,bottom
U8,SLSS49E-3,SLSS49E_MX_1.5U,232.025,-163.142499,0.0,bottom
U80,SLSS49E-3,SLSS49E_MX_1U,308.225,-86.942499,0.0,bottom
U82,SLSS49E-3,SLSS49E_MX_1U,246.3125,-86.942499,0.0,bottom
U83,SLSS49E-3,SLSS49E_MX_1U,255.8375,-105.992499,0.0,bottom
U84,SLSS49E-3,SLSS49E_MX_2.25U-ReversedStabilizers,272.50625,-124.152549,0.0,bottom
U86,SLSS49E-3,SLSS49E_MX_1U,327.275,-86.942499,0.0,bottom
U87,SLSS49E-3,SLSS49E_MX_1U,346.325,-86.942499,0.0,bottom
U88,SLSS49E-3,SLSS49E_MX_1U,308.225,-105.992499,0.0,bottom
U89,SLSS49E-3,SLSS49E_MX_1.5U,279.65,-105.992499,0.0,bottom
U9,SLSS49E-3,SLSS49E_MX_1U,60.575,-63.129999,0.0,bottom
U90,SLSS49E-3,SLSS49E_MX_1U,327.275,-105.992499,0.0,bottom
U91,SLSS49E-3,SLSS49E_MX_1U,346.325,-105.992499,0.0,bottom
U92,SLSS49E-3,SLSS49E_MX_1U,255.8375,-163.142499,0.0,bottom
U93,SLSS49E-3,SLSS49E_MX_1U,327.275,-63.129999,0.0,bottom
U94,SLSS49E-3,SLSS49E_MX_1U,308.225,-163.142499,0.0,bottom
U95,SLSS49E-3,SLSS49E_MX_1U,327.275,-163.142499,0.0,bottom
U96,SLSS49E-3,SLSS49E_MX_1U,346.325,-163.142499,0.0,bottom
U97,SLSS49E-3,SLSS49E_MX_1U,327.275,-144.092499,0.0,bottom
U98,SLSS49E-3,SLSS49E_MX_1.5U,279.65,-163.142499,0.0,bottom
U99,SLSS49E-3,SLSS49E_MX_1U,346.325,-63.129999,0.0,bottom
Y2,8Mhz,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,315.975,-137.859999,270.0,bottom
